txid,ttf,fee,status,error
JIR2ZCZCLTJFOW3AHFLFE5WRZ2XFMRMIC7JAMXKHIDTVTOSWGJFA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction VTXBP5FEPHJYKRDJB4LHRIP32DURPHP7QMYUKX3SIVIOF5F4TLYQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
QY7P23GJ57S4PKQEJBC57AGKM6LXKUFMFB2EVGVWSFNAI7TVVJRQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction CASJAK7M4LVE5HELQAV3E6GDLJGQXMGFARO72GKCXZVQOAV6KQJA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
ZOQWDIF6ECG26NO5FB6374CDC26EACYSF254FC2DUBPCR4JSIRDA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction GQ5LLHTULHHNHATPFXPTMHMTEJHFIODXIL3HLO57MO5VG7MLMGRA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
KFPVMFE5FZ73QSSZWTNWXTZ3QNYPF66RYY2RNKDPPJYWR2KLE5XA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction O365LG4PIG7EJKIRKZUPMFB6VWBQABRGVFM3CNGS3KKPNHBATZJA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
7FV3VEDM5SHNI4GNAG3GPYMHM2WABG3JX5S3JDAHWCPNZWOLJSBA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction SOBVQ2CGFCZUTAQ7HW32SAYOCO45ZO7JSPT7GJTH6AZXV35K5HPA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
M72JEDB23ND3YLFEOHRVUM2J2SFSZAD6SYKRCN64BLHJYWACASGQ,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction QOPLAMGRDYAWW4EGCXP5OVQ4Y6ROFDCPTPIRRMK54VE4B776R7WA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
EMRUNWQZNFOB4AY2RHXV53N2CEEONVRNNXDZ5AKHVV47W2RO3X2Q,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction VYCET5F4E3PO7OTUY5AK6F4ULGBJKJU22BTGNMROXMTAV4AWPB4A: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
YF3SOWVEGZXMMKIIZPRKM2MA4NRMSU7FSDKSPVUGA52GLU7COL6A,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction U2AXI4F2XZHOGTSGICYUNTNBZJEKNU7SOPNMGNKVVOXBGY5JFITA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
YBFRFGRQGQGM2S6J4EV5WGYIFJPP62XE7QJO55A5O2D7HNY6GXJA,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction CPNOIYWHQRJLT5SCBT5A3PT6CD3TXVTU2WHT5IBZMRYC72QQTQFA: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
VLNXTULIV32DS6J2LDWOCYI5VSCAKTKAZRDDL7BJLZWZFQHI4R5A,,3000,failed,"{""data"":{""app-index"":3548200231,""eval-states"":[{},{""stack"":[0]}],""group-index"":1,""pc"":126},""message"":""TransactionPool.Remember: transaction FKV4KWDBJBWQ5T3MHNDY5UAE36TOJLCDJ5EFHU5FA2XGWBTOROBQ: logic eval error: assert failed pc=126. Details: app=3548200231, pc=126, opcodes=app_global_get; \u003e; assert""}
"
